display  D   display_settings.c:227  _al_score_display_settings       [  -0.01897] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01895] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01893] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01891] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01889] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01887] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01883] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01881] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01878] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01876] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01874] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01872] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01869] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01867] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01865] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01863] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01861] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01859] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01856] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01854] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01852] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01850] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01846] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01843] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01841] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01839] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01837] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01835] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01832] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01830] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01828] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01826] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01824] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01822] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01819] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01817] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01815] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01813] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01811] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01809] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01806] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01804] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
